card_code,name,class,card_type,sub_type,cost,attack,hp,effect
PR-000,ファイター,ニュートラル,フォロワー,傭兵,2,2,3,"新たなる世界に立つ、名も無き戦士。
己が真価を発揮するべく、今再び剣をとる。"
PR-001,エンジェルスナイプ,ニュートラル,スペル,天使,1,-,-,相手のフォロワー1体を選ぶ。それに2ダメージ。
PR-002,エンジェルバレッジ,ニュートラル,スペル,天使,1,-,-,相手のフォロワーすべてに1ダメージ。
PR-003,自然の導き,エルフ,スペル,妖精,1,-,-,自分の場のカード1枚を選ぶ。それを手札に戻す。1枚引く。（手札に戻ったトークンはゲームから取り除く）
PR-004,エルフプリンセスメイジ,エルフ,フォロワー・エボルヴ,エルフ族・プリンセス,-,4,4,【進化時】『フェアリーウィスプ』2枚をEXエリアに置く。
PR-005,クイックブレーダー,ロイヤル,フォロワー,兵士,1,1,1,"【進化】【コスト3】：これは進化する。
【疾走】"
PR-006,フローラルフェンサー,ロイヤル,フォロワー・エボルヴ,兵士,-,4,4,【進化時】『スティールナイト』1体と『ナイト』1体を出す。
PR-007,錬金工房,ウィッチ,アミュレット,土の印,2,-,-,"【スタック】
【ファンファーレ】『攻撃型ゴーレム』1体を出す。"
PR-008,知恵の光,ウィッチ,スペル,魔法使い,1,-,-,1枚引く。
PR-009,ドラゴンウォーリア,ドラゴン,フォロワー・エボルヴ,竜族,-,4,4,【進化時】相手のフォロワー1体を選ぶ。それに3ダメージ。
PR-010,竜の託宣,ドラゴン,スペル,竜族,2,-,-,下記から1つチョイスする。【1】自分のPP最大値を+1する。【2】1枚引く。
PR-011,リリム,ナイトメア,フォロワー・エボルヴ,魔界,-,3,3,【攻撃時】自分のリーダーは【体力】+2する。
PR-012,死の祝福,ナイトメア,スペル,死者,6,-,-,自分の墓場のコスト8以下のフォロワー1枚を選ぶ。それを場に出す。それは【守護】を持つ。
PR-013,鉄槌の僧侶,ビショップ,フォロワー・エボルヴ,信仰,-,4,4,【進化時】体力3以下の相手のフォロワー1体を選ぶ。それを消滅させる。
PR-014,破邪の光,ビショップ,スペル,信仰,4,-,-,相手のフォロワー1体を選ぶ。それを消滅させる。自分のリーダーは【体力】+2する。
PR-015,エクスキューション,ニュートラル,スペル,悪魔,4,-,-,相手の場のカード1枚を選ぶ。それを破壊する。
PR-016,光の道筋,ニュートラル,スペル,光輝,2,-,-,"これを自分の手札から捨てたとき、1枚引く。
----------
1枚引く。"
PR-017,ラプラス・ダークネス,ナイトメア,リーダー,-,-,-,-,
PR-018,デモンストライク,ニュートラル,スペル,悪魔,3,-,-,相手のリーダー1人か相手のフォロワー1体を選ぶ。それに3ダメージ。
PR-019,エルフバード,エルフ,フォロワー,エルフ族,2,2,2,"自分のフォロワーが進化したとき、『フェアリーウィスプ』1枚をEXエリアに置く。
―――――――――――――――
『フェアリーウィスプ』【エルフ】妖精・フォロワー【コスト0】【攻撃力】1/【体力】1"
PR-020,アドバンスブレーダー,ロイヤル,フォロワー・エボルヴ,指揮官,-,5,5,【進化時】自分のデッキから兵士・フォロワー2枚まで探し、手札に加える。
PR-021,炎の握撃,ウィッチ,スペル,魔法使い,4,-,-,相手のフォロワー1体を選ぶ。それを破壊する。【スペルチェイン_10】それのリーダーに3ダメージ。
PR-022,炎熱の術式,ウィッチ,アミュレット,土の印,2,-,-,"【スタック】
【ファンファーレ】相手のフォロワー1体を選ぶ。それに3ダメージ。"
PR-023,ドラゴンテイマー,ドラゴン,フォロワー・エボルヴ,竜使い,-,3,3,【進化時】手札1枚を捨てる：自分の墓場の竜族・フォロワー1枚を選ぶ。それを手札に加える。
PR-024,ソウルコンバージョン,ナイトメア,スペル,死者,1,-,-,自分のフォロワー1体を選ぶ。それを破壊する。2枚引く。
PR-025,ソウルミニデビル,ナイトメア,フォロワー,魔界,2,3,2,自分のフォロワーが進化したとき、相手のリーダーすべてに2ダメージ。
PR-026,獣姫の呼び声,ビショップ,アミュレット,信仰,3,-,-,"【ファンファーレ】『ホーリーファルコン』1体を出す。
【起動】【コスト2】これを【アクト】墓場に置く：『ホーリータイガー』1体を出す。
―――――――――――――――
『ホーリーファルコン』【ビショップ】鳥族・フォロワー【コスト3】【攻撃力】2/【体力】2【疾走】
『ホーリータイガー』【ビショップ】獣・フォロワー【コスト4】【攻撃力】4/【体力】4【突進】"
PR-027,冥府への道,ニュートラル,アミュレット,魔王,3,-,-,"自分のエンドフェイズが来たとき、自分のリーダーの【体力】6以下なら、これを【アクト】墓場に置く：相手のフォロワーすべてに6ダメージ。
【ファンファーレ】3枚引く。自分のリーダーに3ダメージ。"
PR-028,眷属の召喚,ナイトメア,スペル,吸血鬼,1,-,-,"『フォレストバット』1体を出す。『フォレストバット』1枚をEXエリアに置く。
―――――――――――――――
『フォレストバット』【ナイトメア】吸血鬼・フォロワー【コスト1】【攻撃力】1/【体力】1"
PR-029,次元の超越,ウィッチ,スペル,魔法使い,12,-,-,"これをプレイする際、墓場のスペル10枚を消滅：コストを7にする。
このターンのあと、自分の追加ターンを行う。"
PR-030,ルシフェル,ニュートラル,フォロワー,天使・堕天使,7,6,7,"【進化】【コスト0】：これは進化する。
【守護】
自分のエンドフェイズが来たとき、自分のリーダーは【体力】+4する。"
PR-031,ウォーターフェアリー,エルフ,フォロワー・エボルヴ,妖精,-,2,2,"【進化時】『フェアリー』1体を出す。
【ラストワード】『フェアリー』1枚をEXエリアに置く。"
PR-032,エイシンフラッシュ,エルフ,フォロワー,ウマ娘,3,3,3,"【食事】【コスト1】：これは出走する。
【出走時】これは【攻撃力】+1/【体力】+1する。相手のフォロワー1体まで選ぶ。それを手札に戻す。（手札に戻ったトークンはゲームから取り除く）"
PR-033,オースレスナイト,ロイヤル,フォロワー・エボルヴ,兵士,-,3,1,【指定攻撃】
PR-034,検証、開始,ロイヤル,スペル,ウマ娘・BNW,1,-,-,下記から1つチョイスする。【1】自分のデッキの上2枚を見る。その中から、ウマ娘・カード1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。【2】自分の墓場のBNW・フォロワー1枚を選ぶ。それを手札に加える。
PR-035,見習い魔女と長い夜,ウィッチ,スペル,ウマ娘,1,-,-,相手のフォロワー1体を選ぶ。それに2ダメージ。自分の場に出走したフォロワーがいるなら、代わりに3ダメージ。
PR-036,海剣竜,ドラゴン,フォロワー,海洋,4,4,4,【ファンファーレ】【覚醒】状態なら、これは【疾走】を持つ。
PR-037,タマモクロス,ドラゴン,フォロワー,ウマ娘,2,2,1,"【食事】【コスト1】：これは出走する。
【出走時】これは【攻撃力】+1/【体力】+1する。相手のフォロワー1体まで選ぶ。それに2ダメージ。"
PR-038,雨の独奏、私の独創,ナイトメア,スペル,ウマ娘,4,-,-,"これをプレイする際、自分の墓場のウマ娘・カードが10枚以上なら、コストを-2する。
相手のフォロワー1体を選ぶ。それを破壊する。"
PR-039,運の行方,ビショップ,アミュレット,ウマ娘,4,-,-,"【ファンファーレ】相手のフォロワー1体を選ぶ。それを破壊する。
【起動】これを【アクト】墓場に置く：自分のデッキの上1枚を見る。その中から、コスト7のカード1枚を公開して手札に加えてよい。"
PR-040,壱百満天原サロメ,ロイヤル,リーダー,-,-,-,-,
PR-041,壱百満天原サロメ,ロイヤル,リーダー,-,-,-,-,
PR-042,フェアリーサークル,エルフ,スペル,妖精,1,-,-,"『フェアリー』3枚をEXエリアに置く。
―――――――――――――――
『フェアリー』【エルフ】妖精・フォロワー【コスト1】【攻撃力】1/【体力】1"
PR-043,聖なる願い,ビショップ,アミュレット,信仰,1,-,-,"【起動】これを【アクト】墓場に置く：1枚引く。
【起動】【コスト2】これを【アクト】墓場に置く：2枚引く。"
PR-044,レオニダス,ロイヤル,フォロワー,指揮官,6,5,6,【進化】【コスト1】：これは進化する。
PR-045,クリスタリアプリンセス・ティア,エルフ,フォロワー,クリスタリア・プリンセス,2,1,1,"【進化】【コスト1】：これは進化する。
【ファンファーレ】【コンボ_3】『クリスタリア・イヴ』1体を出す。
―――――――――――――――
『クリスタリア・イヴ』【エルフ】クリスタリア・フォロワー【コスト4】【攻撃力】4/【体力】4"
